amount,category,subcategory,description,method,date
5000,Income,Allowance,Monthly pocket money,Net Banking,2026-03-01
-40,Food,Snacks,Chai and Samosa,UPI,2026-03-02
-150,Entertainment,Gaming,Steam Summer Sale,Card,2026-03-02
-250,Food,Delivery,Zomato Dinner,UPI,2026-03-03
-40,Food,Snacks,Evening Chai,UPI,2026-03-04
-800,Necessities,Rent,Hostel Rent Share,Net Banking,2026-03-05
-120,Transport,Commute,Auto to College,Cash,2026-03-05
-40,Food,Snacks,Chai after class,UPI,2026-03-06
-199,Entertainment,OTT,Spotify Premium,Card,2026-03-07
-350,Shopping,Clothing,Thrift Store Tee,UPI,2026-03-08
-40,Food,Snacks,Late night Maggi,Cash,2026-03-09
-500,Investments,Savings,Small FD,Net Banking,2026-03-10
-60,Food,Snacks,Cold Drink,UPI,2026-03-11
-40,Food,Snacks,Masala Chai,UPI,2026-03-12
-200,Transport,Commute,Uber to Party,UPI,2026-03-13
-500,Junk,Impulse,Random Sticker Pack,Card,2026-03-14
-40,Food,Snacks,Chai with friends,UPI,2026-03-15
-150,Food,Snacks,Pani Puri,Cash,2026-03-16
-40,Food,Snacks,Evening Chai,UPI,2026-03-17
-1000,Education,Fees,Library Fine,Net Banking,2026-03-18
-40,Food,Snacks,Chai,UPI,2026-03-19
-300,Necessities,Mobile,Recharge,UPI,2026-03-20
-40,Food,Snacks,Chai break,UPI,2026-03-21
-450,Entertainment,Games,Ingame Skins,Card,2026-03-22
-40,Food,Snacks,Chai,UPI,2026-03-23
-150,Food,Snacks,Vada Pav,Cash,2026-03-24
-40,Food,Snacks,Chai,UPI,2026-03-25
-500,Investments,Savings,Mutual Fund Mini,Net Banking,2026-03-26
-40,Food,Snacks,Chai,UPI,2026-03-27
-200,Necessities,Laundry,Hostel Laundry,Cash,2026-03-28
-40,Food,Snacks,Chai,UPI,2026-03-29
-100,Food,Snacks,Party Snacks,UPI,2026-03-30
