Amount,Category,Subcategory,Description,Method,Date
-41,Food,Snacks,Samosa,UPI,2026-03-07
-32,Food,Snacks,Bakery,UPI,2026-03-07
-2648,Food,Groceries,"Dmart Shopping",Card,2026-03-07
-60,Food,Snacks,Samosa,UPI,2026-03-05
-266,Food,Delivery,"Zomato Lunch",UPI,2026-03-04
-161,Transport,Commute,"Uber Ride",UPI,2026-03-04
-453,Entertainment,Media,"Amazon Prime",Card,2026-03-04
-166,Food,Delivery,"Zomato Lunch",UPI,2026-03-03
-91,Transport,Commute,"Bus Ticket",UPI,2026-03-03
-53,Food,Snacks,Bakery,UPI,2026-03-02
-1755,Food,Groceries,Blinkit,Card,2026-03-02
-204,Transport,Commute,Rapido,UPI,2026-03-02
-240,Transport,Commute,"Ola Auto",UPI,2026-02-26
-45,Food,Snacks,"Tapri Chai",UPI,2026-02-25
-1722,Food,Groceries,Blinkit,Card,2026-02-25
-94,Transport,Commute,"Bus Ticket",UPI,2026-02-24
-237,Food,Delivery,"Swiggy Dinner",UPI,2026-02-23
-42,Food,Snacks,Bakery,UPI,2026-02-23
-35,Food,Snacks,"Tapri Chai",UPI,2026-02-22
-495,Health,Medical,"Practo Consult",UPI,2026-02-22
-50,Food,Snacks,"Tapri Chai",UPI,2026-02-21
-40,Food,Snacks,Bakery,UPI,2026-02-20
-60,Food,Snacks,"Tapri Chai",UPI,2026-02-17
-127,Transport,Commute,"Ola Auto",UPI,2026-02-17
-50,Transport,Commute,"Bus Ticket",UPI,2026-02-16
-151,Food,Delivery,"Foodpanda Snack",UPI,2026-02-15
-120,Transport,Commute,"Uber Ride",UPI,2026-02-15
-184,Transport,Commute,Rapido,UPI,2026-02-15
-599,Entertainment,Media,Netflix,Card,2026-02-14
-259,Food,Delivery,"Foodpanda Snack",UPI,2026-02-13
-10000,Others,Savings,"Zerodha SIP",UPI,2026-02-12
-42,Food,Snacks,Bakery,UPI,2026-02-12
-60,Food,Snacks,Samosa,UPI,2026-02-12
-800,Bills,Utilities,"Jio Fiber",UPI,2026-02-11
-2453,Shopping,Online,"Amazon Order",Card,2026-02-11
-285,Food,Delivery,"Zomato Lunch",UPI,2026-02-10
-32,Food,Snacks,"Tapri Chai",UPI,2026-02-09
55000,Income,Salary,"TCS Salary Credit",UPI,2026-02-08
-18000,Bills,Rent,"Flat Rent",UPI,2026-02-08
-1500,Bills,Utilities,"Electricity Bill",UPI,2026-02-08
-47,Food,Snacks,"Tapri Chai",UPI,2026-02-08
-91,Transport,Commute,"Bus Ticket",UPI,2026-02-08
-189,Food,Delivery,"Swiggy Dinner",UPI,2026-02-04
-43,Food,Snacks,Bakery,UPI,2026-02-03
-112,Transport,Commute,"Ola Auto",UPI,2026-02-03
-68,Transport,Commute,"Metro Recharge",UPI,2026-02-03
-58,Transport,Commute,"Metro Recharge",UPI,2026-02-01
-436,Entertainment,Media,"BookMyShow Movie",Card,2026-01-31
-208,Food,Delivery,"Foodpanda Snack",UPI,2026-01-30
-35,Food,Snacks,"Tapri Chai",UPI,2026-01-30
-229,Food,Delivery,"Zomato Lunch",UPI,2026-01-28
-59,Food,Snacks,"Tapri Chai",UPI,2026-01-28
-50,Food,Snacks,Bakery,UPI,2026-01-28
-228,Transport,Commute,"Ola Auto",UPI,2026-01-28
-2325,Shopping,Online,"Myntra Fashion",Card,2026-01-28
-45,Food,Snacks,"Tapri Chai",UPI,2026-01-26
-57,Food,Snacks,"Tapri Chai",UPI,2026-01-26
