amount,category,subcategory,description,method,date
120000,Income,Salary,TCS Monthly Salary,Net Banking,2026-03-01
-25000,Necessities,Rent,Home Rent,Net Banking,2026-03-02
-15000,Investments,SIP,Index Fund SIP,Net Banking,2026-03-03
-8500,Necessities,Groceries,D-Mart Monthly,Card,2026-03-04
-4200,Necessities,Utilities,Electricity & Water,Net Banking,2026-03-05
-3000,Necessities,Fuel,Petrol for Car,Card,2026-03-06
-1200,Entertainment,OTT,Netflix/Prime/Hotstar,Card,2026-03-07
-5000,Education,School,Kids School Fees,Net Banking,2026-03-10
-2500,Food,Dining,Weekend Family Dinner,UPI,2026-03-12
-150,Shopping,Home,New Curtains,Card,2026-03-14
-10000,Investments,PPF,PPF Deposit,Net Banking,2026-03-15
-800,Bills,Mobile,Family Plan Recharge,UPI,2026-03-16
-3500,Necessities,Groceries,Weekly Supplement,UPI,2026-03-18
-2000,Transport,Commute,Uber for Office,UPI,2026-03-20
-4500,Health,Medical,Routine Checkup & Meds,Card,2026-03-22
-1200,Junk,Misc,Imported Chocolates,Card,2026-03-24
-6000,Investments,Gold,Gold Scheme,Net Banking,2026-03-25
-1800,Food,Snacks,Weekend Sweets,UPI,2026-03-28
-3000,Necessities,Insurance,Monthly Premium,Net Banking,2026-03-30
-2000,Shopping,Apparel,Shirts from Sale,Card,2026-03-31
